City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,24.45,83,100,6.07,PN,1705890345
1,avarua,-21.2078,-159.775,28.03,65,20,3.6,CK,1705890346
2,chinde,26.8418,88.0763,6.17,67,8,0.89,NP,1705890347
3,ilhabela,-23.7781,-45.3581,23.25,90,27,1.83,BR,1705890347
4,waitangi,-43.9535,-176.5597,16.61,96,100,8.91,NZ,1705890348
5,tiksi,71.6872,128.8694,-28.58,92,100,10.99,RU,1705889859
6,hasaki,35.7333,140.8333,14.05,63,62,7.13,JP,1705890350
7,buka,40.8108,69.1986,2.77,66,100,0.2,UZ,1705890350
8,west island,-12.1568,96.8225,27.99,89,40,3.6,CC,1705890351
9,puerto natales,-51.7236,-72.4875,13.15,77,92,4.78,CL,1705890351
10,grytviken,-54.2811,-36.5092,0.2,81,60,3.62,GS,1705890353
11,thompson,55.7435,-97.8558,-16.91,78,100,3.09,CA,1705890354
12,klyuchi,52.2667,79.1667,-20.58,96,5,1.65,RU,1705890354
13,grand falls-windsor,48.9332,-55.6649,-1.94,92,93,0.89,CA,1705890356
14,hammerfest,70.6634,23.6821,-7.75,86,100,4.12,NO,1705890356
15,wailua homesteads,22.0669,-159.378,25.24,89,100,5.14,US,1705890357
16,ivanteyevka,55.9711,37.9208,-10.7,100,100,2.34,RU,1705890358
17,tomatlan,19.9333,-105.25,20.15,86,20,1.34,MX,1705890359
18,khandyga,62.6667,135.6,-29.61,97,100,2.09,RU,1705890359
19,salinopolis,-0.6136,-47.3561,26.63,88,22,4.01,BR,1705890360
20,port-aux-francais,-49.35,70.2167,5.64,81,53,14.08,TF,1705890361
21,hamilton,39.1834,-84.5333,-5.95,72,0,3.09,US,1705890096
22,chabahar,25.2919,60.643,20.59,59,67,3.12,IR,1705890362
23,invercargill,-46.4,168.35,21.32,58,76,2.2,NZ,1705890363
24,pariaman,-0.619,100.12,28.03,70,52,0.6,ID,1705890363
25,prince rupert,54.3161,-130.3201,4.83,100,100,2.57,CA,1705890365
26,chonchi,-42.6128,-73.8092,16.56,82,0,2.71,CL,1705890366
27,anadyr,64.75,177.4833,-13.72,92,75,3.0,RU,1705890367
28,talnakh,69.4865,88.3972,-11.55,95,100,3.7,RU,1705890367
29,harlingen,26.1906,-97.6961,9.41,99,100,2.57,US,1705890264
